     ksi;1.initialDensity;2.initialDensity;3.initialDensity;4.initialDensity;5.initialDensity;6.initialDensity;7.initialDensity;8.initialDensity;     tau;1.inputFlow;1.bunkerOutputFlow; 1.speed;2.inputFlow; 2.speed;3.inputFlow; 3.speed;4.inputFlow; 4.speed;5.inputFlow; 5.speed;6.inputFlow; 6.speed;6.connections.7;6.connections.8;7.inputFlow; 7.speed;8.inputFlow; 8.speed
        ;                ;                ;                ;                ;                ;                ;                ;                ;27.75000;    0.00000;           0.56470; 0.56470;    0.20833; 0.78125;           ; 1.01517;    0.29167; 1.25388;    0.00000; 1.48296;           ; 1.68750;        0.40000;        0.60000;           ; 1.85371;           ; 1.97040
        ;                ;                ;                ;                ;                ;                ;                ;                ;27.76000;    0.00008;           0.57226; 0.57226;    0.19525; 0.79793;           ; 1.03894;    0.32822; 1.27831;    0.00410; 1.49726;           ; 1.67754;        0.40000;        0.60000;           ; 1.80389;           ; 1.86621
        ;                ;                ;                ;                ;                ;                ;                ;                ;27.77000;    0.00033;           0.57974; 0.57974;    0.18222; 0.81394;           ; 1.06016;    0.36420; 1.29638;    0.01631; 1.49932;           ; 1.64800;        0.40000;        0.60000;           ; 1.72739;           ; 1.73116
        ;                ;                ;                ;                ;                ;                ;                ;                ;27.78000;    0.00074;           0.58714; 0.58714;    0.16930; 0.82919;           ; 1.07862;    0.39904; 1.30780;    0.03633; 1.48908;           ; 1.59993;        0.40000;        0.60000;           ; 1.62790;           ; 1.57372
        ;                ;                ;                ;                ;                ;                ;                ;                ;27.79000;    0.00131;           0.59446; 0.59446;    0.15652; 0.84364;           ; 1.09416;    0.43218; 1.31240;    0.06366; 1.46679;           ; 1.53504;        0.40000;        0.60000;           ; 1.51020;           ; 1.40380
        ;                ;                ;                ;                ;                ;                ;                ;                ;27.80000;    0.00205;           0.60168; 0.60168;    0.14395; 0.85723;           ; 1.10665;    0.46310; 1.31011;    0.09763; 1.43302;           ; 1.45563;        0.40000;        0.60000;           ; 1.37997;           ; 1.23207
        ;                ;                ;                ;                ;                ;                ;                ;                ;27.81000;    0.00295;           0.60881; 0.60881;    0.13164; 0.86990;           ; 1.11597;    0.49133; 1.30094;    0.13740; 1.38858;           ; 1.36450;        0.40000;        0.60000;           ; 1.24348;           ; 1.06933
        ;                ;                ;                ;                ;                ;                ;                ;                ;27.82000;    0.00401;           0.61582; 0.61582;    0.11963; 0.88161;           ; 1.12204;    0.51640; 1.28507;    0.18200; 1.33457;           ; 1.26489;        0.40000;        0.60000;           ; 1.10731;           ; 0.92578
        ;                ;                ;                ;                ;                ;                ;                ;                ;27.83000;    0.00524;           0.62273; 0.62273;    0.10797; 0.89230;           ; 1.12481;    0.53793; 1.26272;    0.23033; 1.27233;           ; 1.16032;        0.40000;        0.60000;           ; 0.97800;           ; 0.81047
        ;                ;                ;                ;                ;                ;                ;                ;                ;27.84000;    0.00662;           0.62951; 0.62951;    0.09670; 0.90194;           ; 1.12426;    0.55557; 1.23426;    0.28119; 1.20338;           ; 1.05450;        0.40000;        0.60000;           ; 0.86180;           ; 0.73062
        ;                ;                ;                ;                ;                ;                ;                ;                ;27.85000;    0.00816;           0.63616; 0.63616;    0.08588; 0.91048;           ; 1.12038;    0.56906; 1.20014;    0.33333; 1.12942;           ; 0.95118;        0.40000;        0.60000;           ; 0.76430;           ; 0.69127
        ;                ;                ;                ;                ;                ;                ;                ;                ;27.86000;    0.00985;           0.64268; 0.64268;    0.07554; 0.91790;           ; 1.11322;    0.57817; 1.16089;    0.38548; 1.05227;           ; 0.85401;        0.40000;        0.60000;           ; 0.69019;           ; 0.69487
        ;                ;                ;                ;                ;                ;                ;                ;                ;27.87000;    0.01170;           0.64906; 0.64906;    0.06572; 0.92416;           ; 1.10283;    0.58276; 1.11712;    0.43634; 0.97384;           ; 0.76645;        0.40000;        0.60000;           ; 0.64305;           ; 0.74121
        ;                ;                ;                ;                ;                ;                ;                ;                ;27.88000;    0.01371;           0.65529; 0.65529;    0.05646; 0.92924;           ; 1.08931;    0.58276; 1.06954;    0.48466; 0.89605;           ; 0.69159;        0.40000;        0.60000;           ; 0.62514;           ; 0.82738
        ;                ;                ;                ;                ;                ;                ;                ;                ;27.89000;    0.01586;           0.66136; 0.66136;    0.04781; 0.93312;           ; 1.07278;    0.57817; 1.01890;    0.52926; 0.82083;           ; 0.63208;        0.40000;        0.60000;           ; 0.63733;           ; 0.94795
        ;                ;                ;                ;                ;                ;                ;                ;                ;27.90000;    0.01817;           0.66728; 0.66728;    0.03979; 0.93579;           ; 1.05338;    0.56906; 0.96598;    0.56904; 0.75001;           ; 0.59003;        0.40000;        0.60000;           ; 0.67902;           ; 1.09536
        ;                ;                ;                ;                ;                ;                ;                ;                ;27.91000;    0.02062;           0.67304; 0.67304;    0.03243; 0.93723;           ; 1.03129;    0.55557; 0.91163;    0.60301; 0.68535;           ; 0.56694;        0.40000;        0.60000;           ; 0.74822;           ; 1.26033
        ;                ;                ;                ;                ;                ;                ;                ;                ;27.92000;    0.02321;           0.67862; 0.67862;    0.02577; 0.93743;           ; 1.00671;    0.53793; 0.85670;    0.63033; 0.62843;           ; 0.56361;        0.40000;        0.60000;           ; 0.84159;           ; 1.43251
        ;                ;                ;                ;                ;                ;                ;                ;                ;27.93000;    0.02595;           0.68402; 0.68402;    0.01983; 0.93640;           ; 0.97984;    0.51640; 0.80206;    0.65035; 0.58067;           ; 0.58017;        0.40000;        0.60000;           ; 0.95463;           ; 1.60108
        ;                ;                ;                ;                ;                ;                ;                ;                ;27.94000;    0.02882;           0.68925; 0.68925;    0.01463; 0.93415;           ; 0.95094;    0.49133; 0.74857;    0.66256; 0.54323;           ; 0.61603;        0.40000;        0.60000;           ; 1.08190;           ; 1.75544
        ;                ;                ;                ;                ;                ;                ;                ;                ;27.95000;    0.03183;           0.69429; 0.69429;    0.01020; 0.93067;           ; 0.92025;    0.46310; 0.69707;    0.66667; 0.51704;           ; 0.66993;        0.40000;        0.60000;           ; 1.21726;           ; 1.88590
        ;                ;                ;                ;                ;                ;                ;                ;                ;27.96000;    0.03497;           0.69913; 0.69913;    0.00655; 0.92599;           ; 0.88805;    0.43218; 0.64838;    0.66256; 0.50274;           ; 0.73994;        0.40000;        0.60000;           ; 1.35420;           ; 1.98426
        ;                ;                ;                ;                ;                ;                ;                ;                ;27.97000;    0.03825;           0.70378; 0.70378;    0.00369; 0.92012;           ; 0.85462;    0.39904; 0.60326;    0.65035; 0.50068;           ; 0.82360;        0.40000;        0.60000;           ; 1.48613;           ; 2.04433
        ;                ;                ;                ;                ;                ;                ;                ;                ;27.98000;    0.04165;           0.70823; 0.70823;    0.00164; 0.91308;           ; 0.82027;    0.36420; 0.56243;    0.63033; 0.51092;           ; 0.91793;        0.40000;        0.60000;           ; 1.60667;           ; 2.06235
        ;                ;                ;                ;                ;                ;                ;                ;                ;27.99000;    0.04517;           0.71247; 0.71247;    0.00041; 0.90491;           ; 0.78529;    0.32822; 0.52653;    0.60301; 0.53321;           ; 1.01960;        0.40000;        0.60000;           ; 1.71004;           ; 2.03718
        ;                ;                ;                ;                ;                ;                ;                ;                ;28.00000;    0.04882;           0.71651; 0.71651;    0.00000; 0.89563;           ; 0.75000;    0.29167; 0.49612;    0.56904; 0.56698;           ; 1.12500;        0.40000;        0.60000;           ; 1.79125;           ; 1.97040
        ;                ;                ;                ;                ;                ;                ;                ;                ;28.01000;    0.05258;           0.72033; 0.72033;    0.00041; 0.88529;           ; 0.71471;    0.25511; 0.47169;    0.52926; 0.61142;           ; 1.23040;        0.40000;        0.60000;           ; 1.84639;           ; 1.86621
        ;                ;                ;                ;                ;                ;                ;                ;                ;28.02000;    0.05645;           0.72393; 0.72393;    0.00164; 0.87392;           ; 0.67973;    0.21913; 0.45362;    0.48466; 0.66543;           ; 1.33207;        0.40000;        0.60000;           ; 1.87281;           ; 1.73116
        ;                ;                ;                ;                ;                ;                ;                ;                ;28.03000;    0.06043;           0.72731; 0.72731;    0.00369; 0.86156;           ; 0.64538;    0.18430; 0.44220;    0.43634; 0.72767;           ; 1.42640;        0.40000;        0.60000;           ; 1.86922;           ; 1.57372
        ;                ;                ;                ;                ;                ;                ;                ;                ;28.04000;    0.06452;           0.73047; 0.73047;    0.00655; 0.84827;           ; 0.61195;    0.15115; 0.43760;    0.38548; 0.79662;           ; 1.51006;        0.40000;        0.60000;           ; 1.83581;           ; 1.40380
        ;                ;                ;                ;                ;                ;                ;                ;                ;28.05000;    0.06870;           0.73340; 0.73340;    0.01020; 0.83410;           ; 0.57975;    0.12023; 0.43989;    0.33333; 0.87058;           ; 1.58007;        0.40000;        0.60000;           ; 1.77418;           ; 1.23207
        ;                ;                ;                ;                ;                ;                ;                ;                ;28.06000;    0.07299;           0.73609; 0.73609;    0.01463; 0.81911;           ; 0.54906;    0.09201; 0.44906;    0.28119; 0.94773;           ; 1.63397;        0.40000;        0.60000;           ; 1.68731;           ; 1.06933
        ;                ;                ;                ;                ;                ;                ;                ;                ;28.07000;    0.07736;           0.73856; 0.73856;    0.01983; 0.80335;           ; 0.52016;    0.06693; 0.46493;    0.23033; 1.02616;           ; 1.66983;        0.40000;        0.60000;           ; 1.57937;           ; 0.92578
        ;                ;                ;                ;                ;                ;                ;                ;                ;28.08000;    0.08183;           0.74079; 0.74079;    0.02577; 0.78688;           ; 0.49329;    0.04540; 0.48728;    0.18200; 1.10395;           ; 1.68639;        0.40000;        0.60000;           ; 1.45557;           ; 0.81047
        ;                ;                ;                ;                ;                ;                ;                ;                ;28.09000;    0.08637;           0.74278; 0.74278;    0.03243; 0.76978;           ; 0.46871;    0.02776; 0.51574;    0.13740; 1.17917;           ; 1.68306;        0.40000;        0.60000;           ; 1.32186;           ; 0.73062
        ;                ;                ;                ;                ;                ;                ;                ;                ;28.10000;    0.09100;           0.74454; 0.74454;    0.03979; 0.75211;           ; 0.44662;    0.01428; 0.54986;    0.09763; 1.24999;           ; 1.65997;        0.40000;        0.60000;           ; 1.18470;           ; 0.69127
